id,username,created_at,replies_count,retweets_count,likes_count,text_clean,text_preprocessed
1.33e+18,njmyg_,2020-11-18 23:17:14 SE Asia Standard Time,0,0,0,iya sih tapi maksud sender kuliah online kali,"['iya', 'sih', 'maksud', 'sender', 'kuliah', 'online', 'kali']"
1.33e+18,urbbyyyyyyyy,2020-11-18 23:07:06 SE Asia Standard Time,0,0,0,males kuliah online temennya sikit,"['males', 'kuliah', 'online', 'temennya', 'sikit']"
1.33e+18,risyaanggun,2020-11-18 23:05:21 SE Asia Standard Time,0,0,0,tumbenan td kuliah online dosennya minta join zoom trs temen ngcht nyuruh masuk krn yg lain udh join tinggal gua doang yg blm okedeh   cepet cepetcuma pakek daster  kemeja ditimpa gt daster gua  pasminağŸ™‚  jadilaaaa,"['tumben', 'td', 'kuliah', 'online', 'dosen', 'join', 'zoom', 'trs', 'temen', 'ngcht', 'nyuruh', 'masuk', 'krn', 'yg', 'udh', 'join', 'tinggal', 'gua', 'doang', 'yg', 'blm', 'okedeh', 'cepet', 'cepetcuma', 'pakek', 'daster', 'kemeja', 'timpa', 'gt', 'daster', 'gua', 'pasmina', 'jadilaaaa']"
1.33e+18,nyctophilexxx,2020-11-18 22:58:58 SE Asia Standard Time,1,0,0,nangis krn kecapean kuliah online,"['nang', 'krn', 'cape', 'kuliah', 'online']"
1.33e+18,anisanwl,2020-11-18 22:50:53 SE Asia Standard Time,0,0,1,apa hanya aku yang merasa semenjak kuliah online kinerja otakku menurun,"['semenjak', 'kuliah', 'online', 'kerja', 'otak', 'turun']"
1.33e+18,jupitereos,2020-11-18 22:49:54 SE Asia Standard Time,0,0,0,sumpah gak kebayang kalo kuliah online sampe tahun depan memori kepenuhan cuma hanya kebanyakan dokumen ğŸ˜”,"['sumpah', 'gak', 'bayang', 'kalo', 'kuliah', 'online', 'sampe', 'memori', 'penuh', 'banyak', 'dokumen', '']"
1.33e+18,ranipwt_,2020-11-18 22:46:26 SE Asia Standard Time,0,0,0,trueeee kuliah online lebih ribet dan nyusahin banget bikin nangis tiap malam,"['trueeee', 'kuliah', 'online', 'ribet', 'nyusahin', 'banget', 'bikin', 'nang', 'malam']"
1.33e+18,ariepnugraha_,2020-11-18 22:40:47 SE Asia Standard Time,0,0,0,ga hanya seru utk hiburan  ini jg menunjang utk produktivitas harian kita kuliah online  meeting online seharian g akan ada istilah lowbat karena sudah dibekali baterai super jumbo  mah ğŸ’ªğŸ»ğŸ”‹,"['ga', 'seru', 'utk', 'hibur', 'jg', 'tunjang', 'utk', 'produktivitas', 'hari', 'kuliah', 'online', 'meeting', 'online', 'hari', 'g', 'istilah', 'lowbat', 'bekal', 'baterai', 'super', 'jumbo', 'mah', '']"
1.33e+18,sarcastcc,2020-11-18 22:29:01 SE Asia Standard Time,0,0,0,bakat kuliah online  jadi yutuber,"['bakat', 'kuliah', 'online', 'yutuber']"
1.33e+18,riskaayupr,2020-11-18 22:25:19 SE Asia Standard Time,0,0,0,hehe gimana udah ngga gadek bgt sm kuliah online,"['hehe', 'gimana', 'udah', 'ngga', 'gadek', 'bgt', 'sm', 'kuliah', 'online']"
